Target object,Target attribute,Source object,Source attribute,Full or Partial ,Delta,Proxy,Depends on Industry,Calculation,,
B15 - Asset Management and Custody Activities,FN-AC-410a.1,B15 - Asset Management and Custody Activities,FN-AC-410a.1,Part,AUM shall be defined as total market value of assets managed. Section 203A of the Investment Advisers Act of 1940 Section 203A not included,No,No,No,,
B15 - Asset Management and Custody Activities,FN-AC-410a.2,B15 - Asset Management and Custody Activities,FN-AC-410a.2,Yes,Exact same as ISSB,No,No,No,,
B15 - Asset Management and Custody Activities,FN-AC-410a.3,B15 - Asset Management and Custody Activities,FN-AC-410a.3,Yes,Exact same as ISSB,No,No,No,,
B15 - Asset Management and Custody Activities,FN-AC-000.A,B15 - Asset Management and Custody Activities,FN-AC-000.A,Yes,Exact same as ISSB,No,No,No,,
B15 - Asset Management and Custody Activities,FN-AC-000.B,B15 - Asset Management and Custody Activities,FN-AC-000.B,Yes,Exact same as ISSB,No,No,No,,
B16 - Commercial Banks,FN-CB-000.A,B16 - Commercial Banks,FN-CB-000.A,Yes,Exact same as ISSB,No,No,No,,
B16 - Commercial Banks,FN-CB-000.B,B16 - Commercial Banks,FN-CB-000.B,Yes,Exact same as ISSB,No,No,No,,
B17 - Insurance,FN-IN-410a.2,B17 - Insurance,FN-IN-410a.2,Yes,Exact same as ISSB,No,No,No,,
B17 - Insurance,FN-IN-410b.1,B17 - Insurance,FN-IN-410b.1,Yes,Exact same as ISSB,No,No,No,,
B17 - Insurance,FN-IN-410b.2,B17 - Insurance,FN-IN-410b.2,Yes,Exact same as ISSB,No,No,No,,
B17 - Insurance,FN-IN-450a.2,B17 - Insurance,FN-IN-450a.2,Yes,Minor difference in disclosure method for benefits and claims incurred,No,No,No,,
B17 - Insurance,FN-IN-450a.3,B17 - Insurance,FN-IN-450a.3,Yes,Exact same as ISSB,No,No,No,,
B17 - Insurance,FN-IN-000.A,B17 - Insurance,FN-IN-000.A,Yes,Exact same as ISSB,No,No,No,,
B19 - Mortgage Finance,FN-MF-450a.1,B19 - Mortgage Finance,FN-MF-450a.1,Part,"Disclose entities portfolio's underwritten on properties; For mortgage loans on properties located in the U.S, For mortgage loans on properties located in Canada,For mortgage loans on properties located in the EU, FEMA, Canada's Flood Damage Protection Program and EU's Flood Directive ot included",No,No,No,,
B19 - Mortgage Finance,FN-MF-450a.2,B19 - Mortgage Finance,FN-MF-450a.2,Part,"Weather related loan defaults, howver do not include Gulf Coast, California, Northeast, Mountain, Midwest",No,No,No,,
B19 - Mortgage Finance,FN-MF-450a.3,B19 - Mortgage Finance,FN-MF-450a.3,Yes,Exact same as ISSB,No,No,No,,
B19 - Mortgage Finance,FN-MF-000.A,B19 - Mortgage Finance,FN-MF-000.A,Yes,Exact same as ISSB,No,No,No,,
B19 - Mortgage Finance,FN-MF-000.B,B19 - Mortgage Finance,FN-MF-000.B,Yes,Exact same as ISSB,No,No,No,,
